"Name","Location","Year","Kilometers_Driven","Fuel_Type","Seats","Price","brand","Engine_CC","Power_bhp","New_Price2","Mileage_kmpl","Transauto1","Owner_Type2"
"Ford Figo Diesel ZXI","Hyderabad",2012,70337,"Diesel",5,2.8,"Ford",1399,68,NA,20,0,1
"Maruti Ritz VDi","Jaipur",2013,99638,"Diesel",5,3.11,"Maruti",1248,73.94,NA,23.2,0,1
"Honda City i VTEC E","Delhi",2009,52000,"Petrol",5,3.25,"Honda",1497,117.3,NA,17.8,0,1
"BMW 5 Series 2003-2012 525d","Delhi",2011,75000,"Diesel",5,13.9,"BMW",1995,218,NA,16.73,1,2
"Hyundai i10 Sportz 1.2","Pune",2009,95980,"Petrol",5,2.25,"Hyundai",1197,78.9,NA,20.36,0,1
"Hyundai Grand i10 Sportz","Bangalore",2016,16000,"Petrol",5,5.75,"Hyundai",1197,82,NA,18.9,0,1
"Hyundai Santro Xing XO","Hyderabad",2007,73745,"Petrol",5,2.1,"Hyundai",1086,NA,NA,17,0,1
"Honda Amaze SX i-VTEC","Mumbai",2016,18949,"Petrol",5,5,"Honda",1198,86.7,NA,17.8,0,1
"Toyota Fortuner 4x2 Manual","Delhi",2014,107000,"Diesel",7,16.5,"Toyota",2982,168.5,NA,13,0,1
"Audi A6 2011-2015 35 TDI Premium","Coimbatore",2018,48367,"Diesel",5,39.58,"Audi",1968,174.33,NA,17.68,1,1
"Ford Ecosport 1.5 DV5 MT Titanium Optional","Delhi",2013,57000,"Diesel",5,5.5,"Ford",1498,89.84,NA,22.7,0,1
"Mahindra XUV500 W8 2WD","Delhi",2014,58000,"Diesel",7,8.1,"Mahindra",2179,140,NA,15.1,0,1
"Honda Amaze SX i-DTEC","Kolkata",2015,30000,"Diesel",5,3.5,"Honda",1498,98.6,NA,25.8,0,1
"Volkswagen Polo Diesel Highline 1.2L","Kolkata",2013,34212,"Diesel",5,2.79,"Volkswagen",1199,73.9,NA,22.07,0,1
"Hyundai Verna Transform SX VGT CRDi","Ahmedabad",2010,70002,"Diesel",5,3.45,"Hyundai",1493,110,NA,16.2,0,1
"Maruti Wagon R VXI BS IV","Bangalore",2016,62000,"Petrol",5,4.45,"Maruti",998,67.1,NA,18.9,0,1
"Volkswagen Polo Petrol Highline 1.6L","Delhi",2010,62001,"Petrol",5,2.65,"Volkswagen",1598,103.5,NA,15.26,0,1
"Hyundai i20 1.4 CRDi Sportz","Pune",2011,78958,"Diesel",5,3.8,"Hyundai",1396,90,NA,23,0,2
"Hyundai i20 Asta 1.2","Mumbai",2014,30180,"Petrol",5,4.65,"Hyundai",1197,82.85,NA,18.5,0,1
"Datsun GO Plus T Petrol","Pune",2017,32851,"Petrol",7,3.95,"Datsun",1198,67,6.45,19.83,0,1
"Audi A4 3.0 TDI Quattro Premium","Kolkata",2010,30000,"Diesel",5,9.8,"Audi",2967,241.4,NA,14.94,1,1
"Hyundai i20 2015-2017 Asta","Pune",2009,66000,"Petrol",5,2.7,"Hyundai",1197,80,NA,17,0,2
"Maruti Omni 5 Str STD","Coimbatore",2010,93850,"Petrol",5,2.41,"Maruti",796,35,NA,14,0,1
"Toyota Etios Liva 1.2 G","Ahmedabad",2014,53000,"Petrol",5,3.9,"Toyota",1197,78.9,6.41,17.71,0,1
"Jaguar XF 3.0 Litre S Premium Luxury","Hyderabad",2011,78000,"Diesel",5,24,"Jaguar",2993,270.9,NA,14.74,1,2
"Mahindra XUV500 W8 2WD","Delhi",2012,65000,"Diesel",7,5.75,"Mahindra",2179,140,NA,16,0,2
"Hyundai Verna 1.6 SX CRDI (O) AT","Kolkata",2014,40000,"Diesel",5,5.25,"Hyundai",1582,126.32,NA,22.32,1,1
"Toyota Innova Crysta 2.8 ZX AT","Mumbai",2017,30000,"Diesel",7,19.25,"Toyota",2755,171.5,27,11.36,1,1
"Maruti Eeco 5 Seater AC","Coimbatore",2017,38053,"Petrol",5,3.91,"Maruti",1196,73,5.13,15.1,0,1
"Tata Nano Twist XT","Bangalore",2014,25500,"Petrol",4,2.15,"Tata",624,37.5,NA,25.4,0,1
"BMW 3 Series 320d Luxury Line","Mumbai",2015,56087,"Diesel",5,20.75,"BMW",1995,190,54.43,22.69,1,1
"Honda Civic 2006-2010 1.8 V MT","Delhi",2010,71088,"Petrol",5,3.35,"Honda",1799,130,NA,13.5,0,1
"Toyota Innova 2.5 VX (Diesel) 7 Seater","Ahmedabad",2014,55000,"Diesel",7,11.11,"Toyota",2494,100.6,NA,12.99,0,1
"Volvo V40 Cross Country D3","Bangalore",2014,32700,"Diesel",5,20,"Volvo",1984,150,NA,23.3,1,1
"Nissan Micra XV CVT","Coimbatore",2016,39882,"Petrol",5,6.55,"Nissan",1198,75.94,9.51,19.15,1,1
"BMW 5 Series 2010-2013 525i","Mumbai",2009,128000,"Petrol",5,7,"BMW",2497,215,NA,10.8,1,1
"Maruti Vitara Brezza VDi","Mumbai",2016,55000,"Diesel",5,7.5,"Maruti",1248,88.5,9.96,24.3,0,1
"Hyundai Santro Xing XL eRLX Euro III","Mumbai",2005,102000,"Petrol",5,0.85,"Hyundai",1086,NA,NA,17,0,2
"Mercedes-Benz B Class B200 CDI","Pune",2014,53753,"Diesel",5,16.75,"Mercedes-Benz",2143,107.3,NA,15,1,2
"Hyundai Verna CRDi 1.6 SX Option","Kolkata",2018,10250,"Diesel",5,10.95,"Hyundai",1582,126.2,14.44,22,0,1
"Maruti Wagon R LXI BS IV","Pune",2011,43874,"Petrol",5,2.45,"Maruti",998,67.1,NA,18.9,0,1
"Tata Nano XTA","Coimbatore",2017,32684,"Petrol",4,3.23,"Tata",624,37.48,NA,21.9,1,1
"Mahindra Scorpio VLX","Kolkata",2014,42000,"Diesel",8,7.75,"Mahindra",2179,120,NA,12.05,0,1
"Mercedes-Benz New C-Class 200 K AT","Kolkata",2009,28352,"Petrol",5,9.35,"Mercedes-Benz",1796,178,NA,11.7,1,1
"Maruti Wagon R LXI CNG","Pune",2013,89900,"CNG",5,3.25,"Maruti",998,58.16,NA,26.6,0,1
"Honda CR-V 2.4 MT","Bangalore",2007,47700,"Petrol",5,5.25,"Honda",2354,152,NA,10.8,0,2
"Volkswagen Vento 1.5 TDI Comfortline AT","Pune",2015,55000,"Diesel",5,7.25,"Volkswagen",1498,103.2,NA,21.21,1,1
"Maruti Ciaz VXi Plus","Kochi",2017,44285,"Petrol",5,7.47,"Maruti",1373,91.1,NA,20.73,0,1
"Mahindra XUV500 AT W10 FWD","Jaipur",2016,54000,"Diesel",7,13.25,"Mahindra",2179,140,NA,16,1,1
"Maruti Ritz VXI ABS","Coimbatore",2016,30232,"Petrol",5,5.81,"Maruti",1197,85.8,NA,21.1,0,1
"Maruti Alto K10 VXI","Hyderabad",2014,88500,"Petrol",5,2.6,"Maruti",998,67.1,4.53,24.07,0,1
"Mercedes-Benz SLC 43 AMG","Kolkata",2017,13372,"Petrol",2,54,"Mercedes-Benz",2996,362.07,95.04,19,1,1
"Hyundai Verna VTVT 1.6 AT SX Plus","Kochi",2019,12645,"Petrol",5,11.5,"Hyundai",1591,121.3,13.49,17,1,1
"Maruti Alto LXi BSIII","Chennai",2010,94385,"Petrol",5,1.6,"Maruti",796,46.3,NA,19.7,0,2
"BMW 1 Series 118d Base","Coimbatore",2015,31821,"Diesel",5,17.22,"BMW",1995,143,NA,20.58,1,1
"Honda Jazz 1.2 V CVT i VTEC","Mumbai",2015,12000,"Petrol",5,6,"Honda",1199,88.7,NA,19,1,1
"Honda Civic 2006-2010 1.8 V MT","Delhi",2012,88578,"Petrol",5,3.95,"Honda",1799,130,NA,13.5,0,1
"Mercedes-Benz New C-Class C 220 CDI Avantgarde","Kochi",2014,44965,"Diesel",5,17.95,"Mercedes-Benz",2143,170,NA,19.27,1,1
"Honda Amaze SX i-DTEC","Kolkata",2014,45044,"Diesel",5,3.7,"Honda",1498,98.6,NA,25.8,0,1
"Maruti Swift VVT VXI","Kochi",2016,34204,"Petrol",5,5.43,"Maruti",1197,81.8,NA,22,0,1
"Hyundai Santro Xing XO eRLX Euro II","Kochi",2008,80759,"Petrol",5,1.67,"Hyundai",1086,NA,NA,17,0,3
"Toyota Fortuner 3.0 Diesel","Coimbatore",2012,91235,"Diesel",7,13.49,"Toyota",2982,171,NA,11.5,0,1
"Chevrolet Beat LT Option","Pune",2014,38800,"Petrol",5,2.85,"Chevrolet",1199,76.8,NA,18.6,0,1
"Skoda Rapid 1.5 TDI Elegance","Chennai",2013,83000,"Diesel",5,4.75,"Skoda",1498,103.52,NA,21.14,0,1
"Maruti Ciaz 1.4 Alpha","Kochi",2018,41283,"Petrol",5,9.9,"Maruti",1373,91.1,NA,20.73,0,1
"Audi RS5 Coupe","Mumbai",2013,23000,"Petrol",4,37,"Audi",2894,444,1.28,11.05,1,1
"BMW 3 Series Luxury Line","Mumbai",2014,48000,"Diesel",5,26.5,"BMW",1995,190,60.88,21.76,1,1
"Audi A4 2.0 TDI 177 Bhp Premium Plus","Coimbatore",2015,48214,"Diesel",5,23.32,"Audi",1968,174.33,NA,17.11,1,1
"Maruti Swift VDI","Chennai",2016,35000,"Diesel",5,6.25,"Maruti",1248,74,NA,22.9,0,1
"Mercedes-Benz S Class 2005 2013 S 500","Kolkata",2010,35277,"Petrol",5,30,"Mercedes-Benz",5461,362.9,NA,7.81,1,1
"Skoda Rapid 1.5 TDI AT Elegance Plus Black Package","Coimbatore",2016,54620,"Diesel",5,9.86,"Skoda",1498,103.52,NA,21.66,1,1
"Skoda Superb Elegance 2.0 TDI CR AT","Pune",2012,136997,"Diesel",5,8.5,"Skoda",1968,138.1,NA,17.2,1,1
"Hyundai EON Magna Plus","Kochi",2019,14322,"Petrol",5,4.23,"Hyundai",814,55.2,NA,21.1,0,1
"Volkswagen Polo Diesel Trendline 1.2L","Jaipur",2012,65634,"Diesel",5,3.5,"Volkswagen",1199,73.9,NA,22.07,0,1
"Datsun GO NXT","Kolkata",2016,6000,"Petrol",5,2.5,"Datsun",1198,67.06,NA,20.63,0,1
"Honda Brio S MT","Kolkata",2013,33280,"Petrol",5,2.39,"Honda",1198,86.8,NA,19.4,0,1
"Mercedes-Benz B Class B180","Delhi",2013,29000,"Petrol",5,11.25,"Mercedes-Benz",1595,120.7,NA,14.8,1,1
"Honda City i DTEC V","Kochi",2015,42831,"Diesel",5,7.11,"Honda",1498,98.6,NA,26,0,1
"Toyota Innova 2.5 G (Diesel) 7 Seater","Ahmedabad",2016,90000,"Diesel",7,10.9,"Toyota",2494,100.6,NA,12.99,0,1
"Maruti Swift VXI Optional","Ahmedabad",2017,24005,"Petrol",5,6.2,"Maruti",1197,81.8,NA,20.4,0,1
"Mahindra XUV500 W8 2WD","Mumbai",2012,32792,"Diesel",7,7.9,"Mahindra",2179,140,NA,15.1,0,1
"Ford Ecosport 1.5 DV5 MT Ambiente","Kochi",2014,147898,"Diesel",5,4.42,"Ford",1498,89.84,NA,22.7,0,1
"Toyota Fortuner 4x2 Manual","Mumbai",2012,131765,"Diesel",7,13.5,"Toyota",2982,168.5,NA,13,0,1
"Volkswagen Vento 1.5 Highline Plus AT 16 Alloy","Chennai",2013,65000,"Diesel",5,6.25,"Volkswagen",1498,108.5,NA,21.5,1,1
"Ford Figo Diesel Titanium","Jaipur",2010,66123,"Diesel",5,2.1,"Ford",1399,68,NA,20,0,2
"BMW X5 xDrive 30d","Mumbai",2015,41000,"Diesel",5,45,"BMW",2993,258,NA,15.3,1,1
"Mercedes-Benz New C-Class C 220 CDI Style","Coimbatore",2017,23550,"Diesel",5,33.66,"Mercedes-Benz",2143,167.62,NA,19.27,1,1
"Honda Brio V MT","Bangalore",2012,45000,"Petrol",5,3.65,"Honda",1198,86.8,NA,19.4,0,2
"Hyundai i10 Magna 1.2","Delhi",2013,60000,"Petrol",5,2.75,"Hyundai",1197,78.9,NA,20.36,0,1
"Mercedes-Benz GLC 220","Bangalore",2016,44414,"Diesel",5,42.5,"Mercedes-Benz",2143,170,NA,17.9,1,1
"Hyundai Grand i10 1.2 Kappa Asta","Kolkata",2019,1000,"Petrol",5,6.5,"Hyundai",1197,81.86,7.39,18.9,0,1
"Audi A6 2011-2015 2.0 TDI Premium Plus","Mumbai",2012,62500,"Diesel",5,19,"Audi",1968,174.33,NA,17.68,1,2
"Volkswagen Vento Petrol Highline AT","Mumbai",2013,21000,"Petrol",5,4.45,"Volkswagen",1598,103.6,NA,14.4,1,2
"Mini Countryman Cooper D","Jaipur",2017,8525,"Diesel",5,23,"Mini",1998,112,NA,16.6,1,2
"Hyundai i20 Asta 1.4 CRDi","Bangalore",2014,29000,"Diesel",5,8.35,"Hyundai",1396,88.73,NA,22.54,0,1
"Audi A6 2011-2015 2.0 TDI Premium Plus","Mumbai",2014,40000,"Diesel",5,22.95,"Audi",1968,174.33,NA,17.68,1,1
"Chevrolet Beat Diesel LT","Jaipur",2012,88000,"Diesel",5,1.5,"Chevrolet",936,57.6,NA,25.44,0,1
"Skoda Superb Elegance 1.8 TSI AT","Kochi",2012,53537,"Petrol",5,6.89,"Skoda",1798,157.75,NA,13.7,1,1
"Ford Fiesta 1.4 TDCi EXI Limited Edition","Chennai",2006,216000,"Diesel",5,1.45,"Ford",1399,68,NA,17.8,0,2
"BMW 5 Series 520d Luxury Line","Hyderabad",2014,51000,"Diesel",5,33.5,"BMW",1995,190,69.47,22.48,1,1
"Chevrolet Optra Magnum 1.6 LS BS3","Jaipur",2007,118500,"Petrol",5,1.25,"Chevrolet",1598,102.5,NA,12.9,0,1
"Volkswagen Polo Diesel Highline 1.2L","Hyderabad",2012,63000,"Diesel",5,4.2,"Volkswagen",1199,73.9,NA,22.07,0,1
"Renault Lodgy 110PS RxZ 8 Seater","Mumbai",2015,25000,"Diesel",8,6.75,"Renault",1461,108.5,NA,19.98,0,1
"Mercedes-Benz E-Class E250 CDI Avantgrade","Bangalore",2014,37382,"Diesel",5,32,"Mercedes-Benz",2143,201.1,NA,13,1,1
"Maruti Baleno Alpha","Kochi",2017,24773,"Petrol",5,7.5,"Maruti",1197,83.1,8.78,21.4,0,1
"Hyundai Verna 1.6 SX","Delhi",2012,62000,"Diesel",5,4.6,"Hyundai",1582,126.32,NA,22.32,0,1
"Hyundai i10 Magna 1.1","Kochi",2017,52340,"Petrol",5,4.04,"Hyundai",1086,68.05,NA,19.81,0,1
"Mahindra Scorpio 1.99 S10 4WD","Kochi",2016,56739,"Diesel",7,10.31,"Mahindra",1997,120,NA,15.4,0,1
"Land Rover Range Rover 2.2L Dynamic","Coimbatore",2018,36091,"Diesel",5,55.76,"Land",2179,187.7,NA,12.7,1,1
"Ford Figo Diesel ZXI","Chennai",2010,120000,"Diesel",5,2.6,"Ford",1399,68,NA,20,0,1
"Maruti Ertiga ZDI","Mumbai",2016,33000,"Diesel",7,8.5,"Maruti",1248,88.5,12.74,25.47,0,1
"Honda City 1.5 GXI","Ahmedabad",2007,60006,"Petrol",NA,2.95,"Honda",NA,NA,NA,0,0,1
"Honda Amaze S i-Dtech","Kolkata",2014,52000,"Diesel",5,3.5,"Honda",1498,98.6,NA,25.8,0,1
"Hyundai i10 Magna","Jaipur",2015,43571,"Petrol",5,3.55,"Hyundai",1197,78.9,NA,20.36,0,1
"Honda Amaze S i-Dtech","Kolkata",2013,50000,"Diesel",5,3.25,"Honda",1498,98.6,NA,25.8,0,1
"Skoda Laura Ambiente","Hyderabad",2008,113000,"Diesel",5,4.5,"Skoda",1896,106,NA,17.5,0,1
"Renault Duster 85PS Diesel RxL","Delhi",2014,90000,"Diesel",5,5.35,"Renault",1461,83.8,NA,19.87,0,1
"Mahindra NuvoSport N6","Chennai",2017,29000,"Diesel",7,6.5,"Mahindra",1493,100,10.52,17.45,0,2
"Maruti Vitara Brezza ZDi Plus Dual Tone","Mumbai",2016,20000,"Diesel",5,9,"Maruti",1248,88.5,11.98,24.3,0,1
"Hyundai i20 Asta Option 1.2","Kochi",2016,61012,"Petrol",5,6,"Hyundai",1197,81.83,NA,18.6,0,1
"Skoda Fabia 1.4 MPI Ambiente","Jaipur",2009,87459,"Petrol",5,2.75,"Skoda",1390,85,NA,14.7,0,1
"Tata Indigo eCS GLX","Pune",2010,70500,"Petrol",5,1.5,"Tata",1193,64.1,NA,15.64,0,1
"Audi Q3 2012-2015 35 TDI Quattro Premium Plus","Delhi",2015,64103,"Diesel",5,19.9,"Audi",1968,174.33,NA,15.73,1,1
"Skoda Octavia Elegance 1.8 TSI AT","Mumbai",2014,76000,"Petrol",5,10,"Skoda",1798,177.5,NA,14.7,1,1
"Toyota Etios Liva GD SP","Delhi",2014,104000,"Diesel",5,3,"Toyota",1364,67.06,NA,23.59,0,1
"Maruti Swift 1.3 VXi","Kolkata",2010,42001,"Petrol",NA,2.11,"Maruti",NA,NA,NA,16.1,0,1
